City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
lasa,20,CY,1538082000,83,34.92,32.53,71.6,6.93
belmonte,20,PT,1538083334,76,40.36,-7.35,65.47,3.15
carnarvon,0,ZA,1538083334,35,-30.97,22.13,45.58,4.61
topolobampo,20,MX,1538080980,49,25.6,-109.05,91.4,9.17
albany,75,US,1538081640,58,42.65,-73.75,66.92,3.36
punta arenas,0,CL,1538078400,43,-53.16,-70.91,50.0,11.41
durant,40,US,1538081700,57,33.99,-96.37,75.2,4.7
puerto ayora,40,EC,1538078400,65,-0.74,-90.35,78.8,19.46
yellowknife,90,CA,1538082000,59,62.45,-114.38,33.8,12.75
ushuaia,0,AR,1538078400,34,-54.81,-68.31,48.2,17.22
rikitea,24,PF,1538083336,100,-23.12,-134.97,72.31,17.02
mataura,0,NZ,1538083337,100,-46.19,168.86,44.14,4.5
new norfolk,75,AU,1538082000,66,-42.78,147.06,50.0,10.29
klaksvik,76,FO,1538081400,81,62.23,-6.59,44.6,11.41
jamestown,24,AU,1538083190,90,-33.21,138.6,40.18,4.38
tuktoyaktuk,90,CA,1538082000,100,69.44,-133.03,32.0,21.92
cape town,90,ZA,1538082000,93,-33.93,18.42,57.2,18.34
paragominas,56,BR,1538083338,99,-3.0,-47.35,77.17,3.6
saskylakh,92,RU,1538083338,89,71.97,114.09,30.01,16.02
pandan,76,PH,1538083338,100,11.72,122.09,81.22,18.59
opusztaszer,0,HU,1538081100,70,46.49,20.09,48.2,4.16
aromashevo,48,RU,1538083339,54,56.86,68.64,60.88,17.13
qaanaaq,12,GL,1538083339,100,77.48,-69.36,17.5,5.39
salvador,20,BR,1538082000,69,-12.98,-38.48,80.6,11.41
busselton,0,AU,1538083340,100,-33.64,115.35,50.89,20.6
sile,1,US,1538081580,3,35.56,-106.37,82.04,17.22
kapaa,40,US,1538081760,81,22.08,-159.32,86.0,16.11
hobyo,12,SO,1538083340,88,5.35,48.53,77.17,14.67
kruisfontein,0,ZA,1538083341,91,-34.0,24.73,58.81,2.37
tura,76,IN,1538083341,99,25.52,90.21,72.85,2.71
pevek,8,RU,1538083341,92,69.7,170.27,43.78,17.02
hilo,20,US,1538081760,65,19.71,-155.08,87.98,9.17
la ronge,75,CA,1538082000,64,55.1,-105.3,33.8,19.46
khandwa,20,IN,1538083342,86,21.82,76.36,69.61,1.59
storforshei,0,NO,1538081400,88,66.4,14.52,32.0,3.36
vao,92,EE,1538083343,96,59.1,26.19,44.95,6.73
hobart,75,AU,1538082000,66,-42.88,147.33,50.0,10.29
cherskiy,56,RU,1538083343,79,68.75,161.3,40.81,7.4
castro,92,CL,1538083344,98,-42.48,-73.76,49.63,10.54
bredasdorp,0,ZA,1538078400,72,-34.53,20.04,59.0,3.36
salinopolis,88,BR,1538083344,92,-0.61,-47.36,81.85,18.03
san jeronimo,48,PE,1538083344,42,-13.65,-73.37,57.37,2.59
sisimiut,92,GL,1538083344,84,66.94,-53.67,33.16,3.15
kargasok,0,RU,1538083345,88,59.06,80.87,46.93,2.37
santiago,75,CL,1538082000,45,-33.44,-70.65,64.4,9.17
simpang,75,MY,1538082000,88,4.82,100.71,77.0,8.05
obihiro,20,JP,1538083342,87,42.92,143.2,41.44,2.59
saldanha,64,PT,1538083345,89,41.42,-6.55,62.95,2.37
barrow,92,AR,1538083346,72,-38.31,-60.23,53.23,11.43
semey,0,KZ,1538083346,86,50.41,80.25,42.7,3.04
vaini,44,IN,1538083346,95,15.34,74.49,70.87,2.59
coahuayana,8,MX,1538083346,89,18.62,-100.35,73.75,2.15
vilhena,90,BR,1538078400,83,-12.74,-60.15,73.4,5.82
thompson,90,CA,1538082000,92,55.74,-97.86,30.2,9.17
saint-philippe,20,CA,1538082000,55,45.36,-73.48,62.6,8.05
katsuura,36,JP,1538083347,95,33.93,134.5,65.38,6.73
maragogi,92,BR,1538083347,90,-9.01,-35.22,75.91,8.41
mar del plata,64,AR,1538083347,67,-46.43,-67.52,49.81,13.78
boralday,20,KZ,1538080200,54,43.36,76.86,59.0,4.47
dalvik,40,SE,1538081400,87,57.79,14.13,51.8,17.22
nikolskoye,90,RU,1538080200,75,59.7,30.79,46.4,11.18
ribeira grande,40,PT,1538078400,94,38.52,-28.7,75.2,5.82
bluff,0,AU,1538083348,84,-23.58,149.07,63.31,8.97
tiksi,64,RU,1538083348,99,71.64,128.87,28.93,8.19
nizhniy kuranakh,36,RU,1538083349,61,58.84,125.49,47.83,5.84
